NPI,Gender,State,Credentials,Specialty,ACETAMINOPHEN.CODEINE,FENTANYL,HYDROCODONE.ACETAMINOPHEN,HYDROMORPHONE.HCL,METHADONE.HCL,MORPHINE.SULFATE,MORPHINE.SULFATE.ER,OXYBUTYNIN.CHLORIDE,OXYBUTYNIN.CHLORIDE.ER,OXYCODONE.ACETAMINOPHEN,OXYCODONE.HCL,OXYCONTIN,TRAMADOL.HCL,Opioid.Prescriber
1710982582,M,TX,DDS,Dentist,0,0,17,0,0,0,0,0,0,0,0,0,0,1
1245278100,F,AL,MD,General Surgery,0,0,182,0,0,0,24,0,0,33,87,0,36,1
1427182161,F,NY,M.D.,General Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669567541,M,AZ,MD,Internal Medicine,43,0,0,0,0,22,146,15,0,229,29,0,90,1
1679650949,M,NV,M.D.,Hematology/Oncology,0,22,22,0,0,0,0,0,0,0,22,0,0,1
1548580897,M,PA,DO,General Surgery,0,0,0,0,0,0,0,0,0,25,0,0,0,1
1437192002,M,NH,MD,Family Practice,0,0,24,0,0,0,0,28,0,30,21,0,15,1
1407113988,F,PA,"RN, MSN, ANP-BC",Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023260569,M,TX,O.D.,Optometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821106832,F,WI,MD,Internal Medicine,0,25,0,0,0,0,0,13,12,0,11,0,28,1
1609931914,F,PR,M.D.,General Practice,0,0,0,0,0,0,0,0,0,0,0,0,71,1
1659334472,M,TX,MD,General Surgery,0,0,17,0,0,0,0,0,0,0,0,0,0,1
1144205303,M,CO,MD,Family Practice,14,14,109,0,0,0,11,0,24,22,17,0,60,1
1548275050,M,OH,MD,Cardiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952598419,F,TX,MD,Hematology/Oncology,0,0,69,13,0,0,37,0,0,0,0,0,36,1
1780661793,M,OH,M.D.,General Surgery,0,0,0,0,0,0,0,0,0,25,0,0,0,1
1356388011,F,MA,M.D.,Internal Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588788921,M,CT,,Hematology/Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548238389,M,FL,M.D.,General Surgery,0,0,28,0,0,0,0,0,0,13,0,0,0,1
1366582587,M,MN,D.D.S.,Dentist,0,0,14,0,0,0,0,0,0,0,0,0,0,1
1083907059,M,UT,M.D.,Obstetrics/Gynecology,0,0,0,0,0,0,0,0,0,0,11,0,0,1
1598748931,F,AL,M.D.,Family Practice,0,0,86,0,0,0,0,14,0,13,0,0,40,1
1609121748,F,IA,ACNP,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063566727,F,IL,DPM,Podiatry,0,0,48,0,0,0,0,0,0,0,0,0,0,1
1487630919,M,CT,PAC,Physician Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194795351,F,FL,A.R.N.P.,Nurse Practitioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669671194,M,NY,M.D.,Diagnostic Radiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629394754,M,NY,MD,Student in an Organized Health Care Education/Training Program,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174555080,F,FL,MD,Internal Medicine,0,0,0,0,0,0,0,0,0,0,20,0,0,1
1508170895,F,CO,DDS,Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
